word,noun,position,range,index
(นั่ง - VERB),(ของ - NOUN),left,4,18
(กะ - VERB),(ของ - NOUN),right,3,25
(ดั้งเดิม - ADJ),(ภูเก็ต - NOUN),left,2,12
(จึง - ADV),(ภูเก็ต - NOUN),right,3,17
(นั่ง - VERB),(ภูเก็ต - NOUN),right,4,18
(สถานที่ท่องเที่ยว - VERB),(วัฒนธรรม - NOUN),left,2,8
(ชม - VERB),(วัฒนธรรม - NOUN),left,3,7
(เยี่ยม - ADJ),(วัฒนธรรม - NOUN),left,4,6
(ดั้งเดิม - ADJ),(วัฒนธรรม - NOUN),right,2,12
(สถานที่ท่องเที่ยว - VERB),(ทาง - NOUN),left,1,8
(ชม - VERB),(ทาง - NOUN),left,2,7
(เยี่ยม - ADJ),(ทาง - NOUN),left,3,6
(ดั้งเดิม - ADJ),(ทาง - NOUN),right,3,12
(ไป - VERB),(วัด - NOUN),left,1,0
(รอ - VERB),(วัด - NOUN),right,2,3
(ไป - VERB),(วัด - NOUN),right,3,4
(เก่า - ADJ),(วัด - NOUN),left,4,7
(ไป - VERB),(ภูเก็ต - NOUN),left,2,4
(รอ - VERB),(ภูเก็ต - NOUN),left,3,3
(เก่า - ADJ),(ภูเก็ต - NOUN),right,1,7
(ไป - VERB),(เมือง - NOUN),left,1,4
(รอ - VERB),(เมือง - NOUN),left,2,3
(เก่า - ADJ),(เมือง - NOUN),right,2,7
(มี - VERB),(วัด - NOUN),right,1,2
(ตกแต่ง - VERB),(วัด - NOUN),right,3,4
(มี - VERB),(การ - NOUN),left,1,2
(ตกแต่ง - VERB),(การ - NOUN),right,1,4
(ดี - ADJ),(การ - NOUN),right,3,6
(มี - VERB),(บริเวณ - NOUN),right,2,2
(ตกแต่ง - VERB),(บริเวณ - NOUN),right,4,4
