word,noun,position,range,index
(ดั้งเดิม - ADJ),(วัฒนธรรม - NOUN),right,2,12
(เก่า - ADJ),(วัด - NOUN),left,4,7
(เก่า - ADJ),(เมือง - NOUN),right,2,7
(ดี - ADJ),(การ - NOUN),right,3,6
