word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(น้อย - ADJ),0.01235201388585837,-0.08910670838925344,-0.07675469450339507,neg
(จริง - ADJ),0.011226942750042128,-0.061667499774149995,-0.050440557024107865,neg
(ใหญ่ - ADJ),0.010481152981646471,-0.05954439474672155,-0.04906324176507508,neg
(ใหม่ - ADJ),0.01235201388585837,-0.05042903018914135,-0.03807701630328298,neg
(มากมาย - ADJ),0.0072947962334393105,-0.04299178178915158,-0.03569698555571227,neg
(สกปรก - ADJ),0.01235201388585837,-0.04559920757947711,-0.03324719369361874,neg
(สวยงาม - ADJ),0.013033239473150465,-0.03960298150633486,-0.026569742033184393,neg
(สุด - ADJ),0.01235201388585837,-0.030833749887074997,-0.01848173600121663,neg
(โปรด - ADJ),0.018172735253739893,0,0.018172735253739893,pos
(หวาน - ADJ),0.018172735253739893,0,0.018172735253739893,pos
(เล็ก - ADJ),0.015217154411909142,0,0.015217154411909142,pos
(ตื้น - ADJ),0.014832056995806015,0,0.014832056995806015,pos
 - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(ที่สุด - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(เดียว - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(มาก - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(ใส - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(ยิ่งใหญ่ - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(สูง - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(แน่น - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(ขาว - ADJ),0.01235201388585837,0,0.01235201388585837,pos
(สะอาด - ADJ),0.012188503171269969,0,0.012188503171269969,pos
(สด - ADJ),0.012002956379799642,0,0.012002956379799642,pos
(พิเศษ - ADJ),0.011896761877356062,0,0.011896761877356062,pos
(ดี - ADJ),0.01087512076192507,0,0.01087512076192507,pos
(สั้น - ADJ),0.008974535409923856,0,0.008974535409923856,pos
