word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(*มี - VERB),0.020196215095524245,-0.2829640910485977,-0.2627678759530735,neg
(*สะอาด - VERB),0.008476897071138807,-0.2697953115119062,-0.2613184144407674,neg
(*สนใจ - VERB),0.008476897071138807,-0.2697953115119062,-0.2613184144407674,neg
(ใหม่ - ADJ),0.012871591380969351,-0.2697953115119062,-0.2569237201309369,neg
(หวาน - ADJ)(ผักบุ้ง - NOUN),0.24306033401877108,0,0.24306033401877108,pos
(ควบคุม - VERB),0.008476897071138807,-0.215836249209525,-0.2073593521383862,neg
(หมด - VERB),0.008476897071138807,-0.215836249209525,-0.2073593521383862,neg
(น้อย - ADJ),0.011553270133470562,-0.215836249209525,-0.20428297907605442,neg
(สำคัญ - VERB),0.008476897071138807,-0.19621477200865908,-0.18773787493752028,neg
(ว่าย - VERB),0.03871978181087794,-0.215836249209525,-0.17711646739864706,neg
(ใกล้ - VERB),0.024064002579908518,-0.19621477200865908,-0.17215076942875057,neg
(ขึ้น - VERB),0.008476897071138807,-0.17986354100793747,-0.17138664393679867,neg
(พูด - VERB),0.016992692162306408,-0.16674669651078078,-0.14975400434847436,neg
(ออก - VERB),0.008476897071138807,-0.15563025007672873,-0.14715335300558993,neg
(ย้าย - VERB),0.008476897071138807,-0.15563025007672873,-0.14715335300558993,neg
(ทิ้ง - VERB),0.008476897071138807,-0.15416874943537498,-0.14569185236423618,neg
(อยู่ - VERB),0.024678756316474797,-0.15416874943537498,-0.1294899931189002,neg
(ปฏิเสธ - VERB),0.008476897071138807,-0.1348976557559531,-0.1264207586848143,neg
(เคย - ADJ),0.025233509038011394,-0.1348976557559531,-0.10966414671794172,neg
(เดินทาง - VERB),0.008476897071138807,-0.11745679251073866,-0.10897989543959985,neg
(*เห็น - VERB),0.1023411932710615,0,0.1023411932710615,pos
(ใกล้เคียง - VERB),0.10050420667332233,0,0.10050420667332233,pos
(ร้อง - VERB),0.008476897071138807,-0.1079181246047625,-0.0994412275336237,neg
(แว่น - VERB),0.09667368685212867,0,0.09667368685212867,pos
(ใกล้เคียง - ADJ),0.0959956067477901,0,0.0959956067477901,pos
(*เป็น - VERB),0.008476897071138807,-0.10277916629024998,-0.09430226921911117,neg
(ใหญ่ - ADJ),0.026518579833081434,-0.12041199826559248,-0.09389341843251105,neg
(รับ - VERB),0.026048899320867642,-0.11990902733862498,-0.09386012801775734,neg
(วิจัย - VERB),0.09259441295953183,0,0.09259441295953183,pos
(สกปรก - ADJ),0,-0.08993177050396874,-0.08993177050396874,neg
(*ดี - ADJ),0.012264572212583489,-0.09726890629795545,-0.08500433408537196,neg
(รบกวน - VERB),0.008476897071138807,-0.09337815004603724,-0.08490125297489842,neg
(แพง - ADJ),0.08433111594428196,0,0.08433111594428196,pos
(ทำลาย - VERB),0.008476897071138807,-0.09263705361710042,-0.08416015654596162,neg
(หยุด - VERB),0.008476897071138807,-0.09250124966122499,-0.08402435259008617,neg
(ที่สุด - ADJ),0.08102011133959036,0,0.08102011133959036,pos
