word,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(*มี - VERB),0.010242207875007904,-0.2593837501278812,-0.24914154225287327,neg
(หมด - VERB),0.005448277644906209,-0.215836249209525,-0.21038797156461878,neg
(ควบคุม - VERB),0.005448277644906209,-0.19621477200865908,-0.19076649436375287,neg
(สำคัญ - VERB),0.005448277644906209,-0.19621477200865908,-0.19076649436375287,neg
(น้อย - ADJ),0.010005800161255326,-0.1660278840073269,-0.15602208384607158,neg
(ออก - VERB),0.005448277644906209,-0.15563025007672873,-0.15018197243182252,neg
(ใกล้ - VERB),0.015950256702351038,-0.15416874943537498,-0.13821849273302395,neg
(ว่าย - VERB),0.032753663317765205,-0.1660278840073269,-0.13327422068956168,neg
(ย้าย - VERB),0.005448277644906209,-0.11116446434052052,-0.1057161866956143,neg
(ขึ้น - VERB),0.005448277644906209,-0.1079181246047625,-0.10246984695985628,neg
(เดินทาง - VERB),0.005448277644906209,-0.10375350005115248,-0.09830522240624627,neg
(รับ - VERB),0.020285280759239018,-0.09810738600432954,-0.07782210524509052,neg
(เกิน - ADV),0.008468252390683257,-0.08600857018970891,-0.07754031779902565,neg
(ทำลาย - VERB),0.005448277644906209,-0.08278204791315358,-0.07733377026824736,neg
(หยุด - VERB),0.005448277644906209,-0.08093859345357186,-0.07549031580866565,neg
(ขาย - VERB),0.011059458167576528,-0.08301394200366345,-0.07195448383608692,neg
(สกปรก - ADJ),0,-0.07194541640317499,-0.07194541640317499,neg
(ร้อง - VERB),0.005448277644906209,-0.07708437471768749,-0.07163609707278128,neg
(ทิ้ง - VERB),0.005448277644906209,-0.07708437471768749,-0.07163609707278128,neg
(*เป็น - VERB),0.005448277644906209,-0.07708437471768749,-0.07163609707278128,neg
(แทน - VERB),0.005448277644906209,-0.07653946725085019,-0.07109118960594397,neg
(ปฏิเสธ - VERB),0.005448277644906209,-0.07194541640317499,-0.06649713875826878,neg
(*ดี - ADJ),0.00988047701294301,-0.07591719515937986,-0.06603671814643686,neg
(หลาย - ADV),0.01766684635197376,-0.07708437471768749,-0.059417528365713734,neg
(รบกวน - VERB),0.005448277644906209,-0.0648459375319703,-0.05939765988706409,neg
(ชอบ - VERB),0.005448277644906209,-0.06256123165493478,-0.057112954010028576,neg
(เลย - ADV),0,-0.05473272648436022,-0.05473272648436022,neg
(ที่สุด - ADJ),0.05255358573378834,0,0.05255358573378834,pos
(พยายาม - VERB),0.005448277644906209,-0.056592818209719536,-0.05114454056481333,neg
(เกลียด - VERB),0.005448277644906209,-0.05558223217026026,-0.05013395452535405,neg
(ใหญ่ - ADJ),0.01022551510404534,-0.06020599913279624,-0.0499804840287509,neg
(แปลก - VERB),0.04861206680375422,0,0.04861206680375422,pos
(แน่น - ADJ),0.04861206680375422,0,0.04861206680375422,pos
(พูด - VERB),0.009178958501348419,-0.05558223217026026,-0.04640327366891184,neg
(ท่องเที่ยว - VERB),0.01103946669688789,-0.05644312418699647,-0.04540365749010858,neg
(หลีกเลี่ยง - VERB),0.005448277644906209,-0.050203306476364104,-0.0447550288314579,neg
(ใกล้เคียง - ADJ),0.043584992596945725,0,0.043584992596945725,pos
(แน่นอน - ADV),0.0288325030962489,-0.07194541640317499,-0.04311291330692609,neg
(*ว่าง - ADJ),0.04137197174787593,0,0.04137197174787593,pos
(งาม - VERB),0.04051005566979518,0,0.04051005566979518,pos
(แลก - VERB),0.04051005566979518,0,0.04051005566979518,pos
(สั้น - ADJ),0.04051005566979518,0,0.04051005566979518,pos
(ทุก - ADV),0.015276084385043985,-0.05558223217026026,-0.040306147785216274,neg
(จึง - ADV),0,-0.039969675779541664,-0.039969675779541664,neg
(ประมาณ - VERB),0.03968331983979936,0,0.03968331983979936,pos
(ปล่อย - VERB),0.005448277644906209,-0.04496588525198437,-0.03951760760707816,neg
(โรแมนติก - ADJ),0.03888965344300337,0,0.03888965344300337,pos
(รักษา - VERB),0.038821716767390255,0,0.038821716767390255,pos
(ปลอด - VERB),0.038821716767390255,0,0.038821716767390255,pos
(บาง - ADV),0.021150760756930644,-0.059857788491049516,-0.03870702773411887,neg
(สกปรก - VERB),0.005448277644906209,-0.04356587144612152,-0.038117593801215315,neg
(ร่า - VERB),0.005448277644906209,-0.043167249841904995,-0.03771897219699879,neg
(ใกล้เคียง - VERB),0.03668403543576265,0,0.03668403543576265,pos
(ถูกต้อง - VERB),0.03567858114037007,0,0.03567858114037007,pos
(มอง - VERB),0.026709879887783016,-0.061667499774149995,-0.034957619886366975,neg
(ดู - VERB),0.005448277644906209,-0.039969675779541664,-0.03452139813463546,neg
(ดี - ADJ),0.013439256402020748,-0.047782538994282725,-0.03434328259226198,neg
(โดดเด่น - ADJ),0.03268038104454065,0,0.03268038104454065,pos
(สะดวก - VERB),0.03189916124848926,0,0.03189916124848926,pos
(ยิ่ง - ADV),0.031876765117215884,0,0.031876765117215884,pos
(เก็บ - VERB),0.031876765117215884,0,0.031876765117215884,pos
(ชัดเจน - ADJ),0.031876765117215884,0,0.031876765117215884,pos
(ง่าย - ADV),0.031876765117215884,0,0.031876765117215884,pos
(เยี่ยม - ADJ),0.031156649493730294,0,0.031156649493730294,pos
(ประจำ - VERB),0.030621774364569584,0,0.030621774364569584,pos
(คาด - VERB),0.030155094981397935,0,0.030155094981397935,pos
(ขอ - VERB),0.030155094981397935,0,0.030155094981397935,pos
(เลวร้าย - ADJ),0,-0.02951265493111314,-0.02951265493111314,neg
(ปรุง - VERB),0.029240340934589,0,0.029240340934589,pos
(เล็ก - ADJ),0.0288325030962489,0,0.0288325030962489,pos
(กันเอง - ADV),0.028595333413973068,0,0.028595333413973068,pos
(คือ - VERB),0.02777832388785955,0,0.02777832388785955,pos
(ล่วงหน้า - ADV),0.02777832388785955,0,0.02777832388785955,pos
(ยอดเยี่ยม - ADJ),0.01241979248734925,-0.039969675779541664,-0.027549883292192413,neg
(ให้ - VERB),0.012949205288228488,-0.04032010603264753,-0.027370900744419044,neg
